time_ms; V1_rpm; V2_rpm; V3_rpm; V4_rpm
14;0;0;0;0
47;35,8974368;56,41026;30,769232;2,5641026
88;133,33334;151,28206;138,46154;48,717952
130;197,43592;202,56412;192,307716;146,15386
173;230,76924;228,20514;225,64104;210,25642
215;230,76924;228,20514;230,76924;233,33334
258;220,51284;215,384624;217,948732;233,33334
303;207,69232;212,82052;215,384624;217,948732
380;241,025652;220,51284;212,82052;210,25642
423;233,33334;212,82052;217,948732;223,07694
467;225,64104;215,384624;220,51284;223,07694
546;202,56412;217,948732;210,25642;210,25642
621;261,53844;207,69232;223,07694;228,20514
695;123,07693;238,46156;212,82052;215,384624
770;235,89744;225,64104;215,384624;210,25642
844;225,64104;210,25642;217,948732;233,33334
919;207,69232;230,76924;212,82052;223,07694
994;241,025652;212,82052;220,51284;207,69232
1073;225,64104;220,51284;212,82052;248,717968
1148;207,69232;210,25642;223,07694;228,20514
1255;248,717968;235,89744;210,25642;207,69232
1331;230,76924;215,384624;225,64104;246,15386
1408;210,25642;215,384624;217,948732;230,76924
1485;228,20514;215,384624;212,82052;212,82052
1562;215,384624;215,384624;217,948732;223,07694
1644;212,82052;215,384624;215,384624;212,82052
1722;220,51284;215,384624;215,384624;225,64104
1801;212,82052;215,384624;215,384624;210,25642
1882;217,948732;215,384624;215,384624;230,76924
1965;215,384624;212,82052;215,384624;217,948732
2046;212,82052;223,07694;217,948732;212,82052
2128;220,51284;212,82052;215,384624;228,20514
2205;212,82052;217,948732;212,82052;212,82052
2282;223,07694;212,82052;220,51284;223,07694
2359;207,69232;225,64104;215,384624;210,25642
2440;243,58975;205,12822;212,82052;233,33334
2554;210,25642;269,23076;225,64104;210,25642
2633;228,20514;51,282056;212,82052;230,76924
2712;210,25642;220,51284;212,82052;217,948732
2790;230,76924;223,07694;223,07694;210,25642
2870;215,384624;207,69232;212,82052;238,46156
2951;210,25642;241,025652;217,948732;220,51284
3035;233,33334;225,64104;215,384624;212,82052
3118;220,51284;202,56412;217,948732;228,20514
3202;202,56412;269,23076;212,82052;212,82052
3278;256,41024;74,35898;215,384624;217,948732
3362;138,46154;233,33334;212,82052;210,25642
3443;248,717968;223,07694;212,82052;228,20514
3527;235,89744;205,12822;225,64104;215,384624
3613;210,25642;256,41024;212,82052;212,82052
3697;230,76924;135,89744;223,07694;225,64104
3779;212,82052;256,41024;207,69232;215,384624
3897;223,07694;102,56411;251,28208;215,384624
3983;205,12822;248,717968;169,23078;215,384624
4066;248,717968;233,33334;253,84618;212,82052
4152;230,76924;207,69232;161,53846;233,33334
4236;205,12822;235,89744;253,84618;215,384624
4324;261,53844;217,948732;161,53846;215,384624
4411;97,435908;202,56412;261,53844;217,948732
4497;230,76924;253,84618;112,82052;207,69232
4581;225,64104;141,02565;238,46156;238,46156
4666;202,56412;256,41024;230,76924;223,07694
4757;276,92308;130,76922;212,82052;207,69232
4841;17,9487184;238,46156;212,82052;228,20514
4929;225,64104;220,51284;212,82052;215,384624
